Token,District,Area,Rooms,Floor,Parking,Storage,Elevator,Exact_Price,Age,Price_per_meter
Qa7zwo8C, امام زاده قاسم (نیاوران),275.0,4.0,5.0,True,True,True,165000003584,1.0,600000013.0327272
Qaf3zpPn, امام زاده قاسم (نیاوران),160.0,3.0,5.0,True,True,True,41999998976,8.0,262499993.6
gaDAz2ni, امام زاده قاسم (نیاوران),30.0,1.0,2.0,False,False,False,12999999488,25.0,433333316.26666665
QaxzNXTS, امام زاده قاسم (نیاوران),130.0,2.0,1.0,True,True,True,51000000512,16.0,392307696.24615383
Qa_Hxw6q, امام زاده قاسم (نیاوران),255.0,4.0,4.0,True,True,True,83999997952,11.0,329411756.6745098
gaDUQzrg, امام زاده قاسم (نیاوران),170.0,3.0,3.0,True,True,True,85000003584,12.0,500000021.08235294
gaC0sM18, امام زاده قاسم (نیاوران),148.0,3.0,2.0,True,True,True,49999998976,16.0,337837830.9189189
gaDAQ58a, امام زاده قاسم (نیاوران),350.0,4.0,10.0,True,True,True,314999996416,0.0,899999989.76
Qa-fv10q, امام زاده قاسم (نیاوران),148.0,3.0,3.0,True,True,True,88000004096,1.0,594594622.2702702
Qa6LOYlY, امام زاده قاسم (نیاوران),245.0,4.0,4.0,True,True,True,83000000512,10.0,338775512.29387754
Qa-j-jsv, امام زاده قاسم (نیاوران),120.0,2.0,4.0,True,True,True,73000001536,2.0,608333346.1333333
Qa33qQ_k, امام زاده قاسم (نیاوران),140.0,3.0,3.0,True,True,True,83999997952,2.0,599999985.3714286
gaDUANsL, امام زاده قاسم (نیاوران),230.0,3.0,15.0,True,True,True,99999997952,9.0,434782599.79130435
gaDQRBUc, امام زاده قاسم (نیاوران),65.0,2.0,3.0,True,True,True,23399999488,15.0,359999992.1230769
gaCYeEMO, امام زاده قاسم (نیاوران),180.0,3.0,3.0,True,True,True,44000002048,7.0,244444455.82222223
gaB0o9hr, امام زاده قاسم (نیاوران),133.0,3.0,3.0,True,True,True,49999998976,20.0,375939841.924812
gaD0UMuB,آبشار,100.0,2.0,2.0,True,False,True,17999998976,0.0,179999989.76
Qak7ZWFP,آبشار,63.0,2.0,5.0,False,False,True,11000000512,2.0,174603182.73015872
gaCUPEvt,آبشار,90.0,2.0,3.0,True,True,True,15699999744,1.0,174444441.6
gaC4uLik,آبشار,106.0,2.0,1.0,True,False,True,15900000256,2.0,150000002.41509435
Qa53ppwk,آبشار,90.0,2.0,3.0,False,True,True,11249999872,15.0,124999998.57777777
gaCoeAEv,آبشار,63.0,1.0,3.0,True,True,True,8127000064,20.0,129000001.01587301
gaDUZzwV,آبشار تهران (دریاچه),68.0,2.0,1.0,False,True,True,11500000256,17.0,169117650.82352942
gaD8zpEE,آبشار تهران (دریاچه),90.0,2.0,2.0,True,True,True,16250000384,0.0,180555559.82222223
gaDsTKAW,آبشار تهران (دریاچه),85.0,2.0,12.0,True,True,True,10000000000,0.0,117647058.8235294
gaDwRYz6,آبشار تهران (دریاچه),90.0,2.0,7.0,True,True,True,6000000000,0.0,66666666.666666664
gaDsxXCE,آبشار تهران (دریاچه),112.0,3.0,20.0,True,True,True,5500000256,0.0,49107145.14285714
